OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent, courierService ,isRTO
2648303,528346,120,MPS                 ,Gazipur,android,normal,25,7/31/2019 19:07,7/31/2019 13:09,Yes,Yes,E-Desh                                                                                              ,No
2648302,528346,144,MPS                 ,Gazipur,android,normal,25,7/31/2019 19:07,7/31/2019 13:09,Yes,No,E-Desh                                                                                              ,No
2648223,563394,184,ADC                 ,Dhaka,android,normal,25,7/31/2019 18:47,7/31/2019 12:48,No,No,E-Courier LTD                                                                                       ,No
2648178,977878,125,MPS                 ,Dhaka (Outside City),android,normal,0,7/31/2019 18:39,7/31/2019 12:47,Yes,Yes,Paperfly                                                                                            ,No
2648177,977878,80,MPS                 ,Dhaka (Outside City),android,normal,25,7/31/2019 18:39,7/31/2019 12:47,Yes,No,Paperfly                                                                                            ,No
2648095,4561,236,MPD                 ,Dhaka,mobile-site,normal,35,7/31/2019 18:29,7/31/2019 12:39,Yes,No,E-Desh                                                                                              ,No
2647996,982886,220,MPS                 ,Chittagong City,android,normal,25,7/31/2019 18:13,7/31/2019 12:20,No,Yes,E-Desh                                                                                              ,No
2647954,983537,549,MPD                 ,Dhaka,mobile-site,normal,35,7/31/2019 17:56,7/31/2019 12:37,No,No,E-Courier LTD                                                                                       ,No
2647934,4561,203,MPD                 ,Dhaka,mobile-site,normal,35,7/31/2019 17:50,7/31/2019 11:56,Yes,No,E-Desh                                                                                              ,No
2647921,984164,319,MPC                 ,Dhaka,Others,,35,7/31/2019 17:45,7/31/2019 12:26,No,No,E-Desh                                                                                              ,No
2647917,910009,170,MPS                 ,Gazipur,android,normal,25,7/31/2019 17:44,7/31/2019 11:46,No,Yes,Paperfly                                                                                            ,No
2647915,4561,203,MPD                 ,Dhaka,mobile-site,normal,35,7/31/2019 17:43,7/31/2019 11:44,Yes,No,E-Desh                                                                                              ,No
2647906,984146,0,MPD                 ,Dhaka,android,normal,25,7/31/2019 17:39,7/31/2019 11:48,Yes,Yes,E-Desh                                                                                              ,No
2647905,984146,245,MPD                 ,Dhaka,android,normal,30,7/31/2019 17:39,7/31/2019 11:48,Yes,Yes,E-Desh                                                                                              ,No
2647901,910009,110,MPS                 ,Gazipur,android,normal,25,7/31/2019 17:37,7/31/2019 11:41,No,Yes,Paperfly                                                                                            ,No
2647899,589754,330,ADC                 ,Narayanganj,android,normal,25,7/31/2019 17:35,7/31/2019 12:02,No,No,E-Desh                                                                                              ,No
2647887,942222,247,MPD                 ,Chittagong City,android,normal,60,7/31/2019 17:27,7/31/2019 11:34,No,Yes,E-Desh                                                                                              ,No
2647886,962769,350,MPD                 ,Dhaka,android,normal,30,7/31/2019 17:26,7/31/2019 11:37,No,No,E-Desh                                                                                              ,No
2647867,984146,363,MPD                 ,Dhaka,android,normal,30,7/31/2019 17:17,7/31/2019 11:48,No,Yes,E-Desh                                                                                              ,No
2647823,983265,215,MPD                 ,Chittagong City,android,normal,60,7/31/2019 17:05,7/31/2019 13:27,No,Yes,E-Desh                                                                                              ,No
2647796,984089,185,MPD                 ,Gazipur,android,normal,60,7/31/2019 16:59,7/31/2019 12:16,No,Yes,E-Desh                                                                                              ,No
2647756,792978,302,MPD                 ,Dhaka,android,normal,0,7/31/2019 16:52,7/31/2019 10:54,Yes,No,E-Desh                                                                                              ,No
2647713,223778,315,MPD                 ,Dhaka,android,normal,30,7/31/2019 16:32,7/31/2019 10:37,No,No,E-Desh                                                                                              ,No
2647694,635770,235,MPS                 ,Gazipur,android,normal,25,7/31/2019 16:25,7/31/2019 11:01,No,Yes,E-Desh                                                                                              ,No
2647685,373736,290,MPD                 ,Dhaka,android,normal,30,7/31/2019 16:23,7/31/2019 10:36,No,Yes,E-Desh                                                                                              ,No
2647684,983368,240,MPD                 ,Dhaka,android,normal,30,7/31/2019 16:22,7/31/2019 11:13,No,No,E-Desh                                                                                              ,No
2647682,984000,665,MPD                 ,Chittagong City,mobile-site,express,65,7/31/2019 16:22,7/31/2019 15:17,No,No,E-Desh                                                                                              ,No
2647673,984092,350,MPD                 ,Dhaka,mobile-site,normal,35,7/31/2019 16:21,7/31/2019 13:57,No,No,E-Desh                                                                                              ,No
2647634,943341,300,MPD                 ,Gazipur,android,express,75,7/31/2019 16:14,7/31/2019 11:25,No,No,E-Desh                                                                                              ,No
2647599,46518,475,MPS                 ,Dhaka,android,normal,25,7/31/2019 16:02,7/31/2019 10:16,Yes,No,E-Courier LTD                                                                                       ,No
2647541,984044,230,MPD                 ,Dhaka,android,normal,30,7/31/2019 15:38,7/31/2019 9:40,No,Yes,E-Desh                                                                                              ,No
2647534,948869,136,MPD                 ,Dhaka,android,normal,25,7/31/2019 15:35,7/31/2019 9:36,Yes,Yes,E-Desh                                                                                              ,No
2647533,948869,130,MPD                 ,Dhaka,android,normal,30,7/31/2019 15:35,7/31/2019 9:36,Yes,Yes,E-Desh                                                                                              ,No
2647530,911585,140,MPS                 ,Dhaka,android,normal,25,7/31/2019 15:33,7/31/2019 9:35,Yes,Yes,E-Desh                                                                                              ,No
2647522,932542,160,MPD                 ,Dhaka,android,normal,30,7/31/2019 15:21,7/31/2019 9:41,No,Yes,E-Desh                                                                                              ,No
2647519,983630,1099,MPD                 ,Chittagong City,android,normal,0,7/31/2019 15:19,7/31/2019 9:38,No,No,E-Desh                                                                                              ,No
2647471,982848,0,MPD                 ,Dhaka,android,normal,25,7/31/2019 15:02,7/31/2019 9:09,Yes,Yes,E-Desh                                                                                              ,No
2647470,982848,245,MPD                 ,Dhaka,android,normal,30,7/31/2019 15:02,7/31/2019 9:09,Yes,Yes,E-Desh                                                                                              ,No
2647416,983909,165,MPD                 ,Dhaka,desktop,normal,35,7/31/2019 14:46,7/31/2019 9:20,No,Yes,E-Desh                                                                                              ,Yes
2647412,486197,150,ADC                 ,Dhaka,android,normal,25,7/31/2019 14:45,7/31/2019 9:48,No,No,E-Courier LTD                                                                                       ,No
